종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S","1830","-9","-0.49","54","33.89",,,"998","1.83","0","0.00"
"095570","AJ네트웍스","3830","0","0.00","367","10.44","712","5.38","9326","0.41","270","7.05"
"006840","AK홀딩스","10350","-140","-1.33","2635","3.93",,,"44339","0.23","200","1.93"
"054620","APS","6100","-270","-4.24","667","9.15",,,"11683","0.52","0","0.00"
"265520","AP시스템","18560","300","1.64","3997","4.64",,,"21396","0.87","270","1.45"
"211270","AP위성","12250","-450","-3.54","739","16.58",,,"6680","1.83","70","0.57"
"109960","AP헬스케어","474","-15","-3.07","80","5.93",,,"2518","0.19","0","0.00"
"139050","BF랩스","2805","0","0.00","11","255.00",,,"5250","0.53","0","0.00"
"027410","BGF","3460","15","0.44","813","4.26","695","4.98","17286","0.20","120","3.47"
"282330","BGF리테일","112800","2700","2.45","11337","9.95","12507","9.02","62197","1.81","4100","3.63"
"126600","BGF에코머티리얼즈","2745","5","0.18",,,,,"6471","0.42","70","2.55"
"138930","BNK금융지주","10830","-170","-1.55","1905","5.69","2670","4.06","31746","0.34","510","4.71"
"001460","BYC","26900","-50","-0.19","2836","9.49",,,"64090","0.42","300","1.12"
"001465","BYC우","12600","100","0.80",,,,,,,"305","2.42"
"013720","CBI","727","-26","-3.45",,,,,"1093","0.67","0","0.00"
"083790","CG인바이츠","2230","-95","-4.09",,,,,"1587","1.41","0","0.00"
"001040","CJ","128100","1600","1.26","5806","22.06","11122","11.52","164443","0.78","3000","2.34"
"079160","CJ CGV","4820","-5","-0.10",,,"44","109.33","3441","1.40","0","0.00"
"035760","CJ ENM","55200","300","0.55",,,"1599","34.51","156237","0.35","0","0.00"
"311690","CJ 바이오사이언스","11570","370","3.30",,,,,"7846","1.47","0","0.00"
"00104K","CJ4우(전환)","98800","1800","1.86",,,,,,,"3050","3.09"
"000120","CJ대한통운","87400","-400","-0.46","10357","8.44","13257","6.59","180690","0.48","500","0.57"
"011150","CJ씨푸드","3210","15","0.47","123","26.10",,,"2160","1.49","0","0.00"
"011155","CJ씨푸드1우","16000","-820","-4.88",,,,,,,"0","0.00"
"001045","CJ우","66900","-100","-0.15",,,,,,,"3050","4.56"
"097950","CJ제일제당","268500","3000","1.13","24081","11.15","34252","7.84","446325","0.60","5500","2.05"
"097955","CJ제일제당 우","137100","-400","-0.29",,,,,,,"5550","4.05"
