종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","3830","0","0.00","173318066970"
"006840","AK홀딩스","KOSPI","기타금융","10350","-140","-1.33","137112256350"
"027410","BGF","KOSPI","기타금융","3460","15","0.44","331180096860"
"282330","BGF리테일","KOSPI","유통","112800","2700","2.45","1949624596800"
"138930","BNK금융지주","KOSPI","기타금융","10830","-170","-1.55","3448093510770"
"001460","BYC","KOSPI","섬유·의류","26900","-50","-0.19","168021435000"
"001465","BYC우","KOSPI","섬유·의류","12600","100","0.80","27138510000"
"001040","CJ","KOSPI","기타금융","128100","1600","1.26","3737573443800"
"079160","CJ CGV","KOSPI","오락·문화","4820","-5","-0.10","798096872480"
"00104K","CJ4우(전환)","KOSPI","기타금융","98800","1800","1.86","417579385600"
"000120","CJ대한통운","KOSPI","운송·창고","87400","-400","-0.46","1993798865600"
"011150","CJ씨푸드","KOSPI","음식료·담배","3210","15","0.47","115337781330"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","16000","-820","-4.88","3200000000"
"001045","CJ우","KOSPI","기타금융","66900","-100","-0.15","151208918700"
"097950","CJ제일제당","KOSPI","음식료·담배","268500","3000","1.13","4042048941000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","137100","-400","-0.29","181991064300"
"000480","CR홀딩스","KOSPI","비금속","5250","-50","-0.94","246175072500"
"000590","CS홀딩스","KOSPI","기타금융","71300","-600","-0.83","82314566600"
"012030","DB","KOSPI","IT 서비스","1379","23","1.70","277418853607"
"016610","DB금융투자","KOSPI","증권","5900","-30","-0.51","250433695100"
"005830","DB손해보험","KOSPI","보험","97700","200","0.21","6917160000000"
"000990","DB하이텍","KOSPI","전기·전자","49000","1250","2.62","2175530812000"
"139130","DGB금융지주","KOSPI","기타금융","9010","-110","-1.21","1499199425330"
"000300","DH오토넥스","KOSPI","전기·전자","1984","0","0.00","161600154944"
"001530","DI동일","KOSPI","유통","45050","350","0.78","872655395950"
"000210","DL","KOSPI","화학","33750","-1400","-3.98","707261085000"
"000215","DL우","KOSPI","화학","19770","340","1.75","33334493550"
"375500","DL이앤씨","KOSPI","건설","42050","50","0.12","1627066847150"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","26200","-200","-0.76","55333116200"
"37550K","DL이앤씨우","KOSPI","건설","17380","-60","-0.34","36739321300"
"007340","DN오토모티브","KOSPI","전기·전자","21450","100","0.47","1255058054250"
"004840","DRB동일","KOSPI","화학","4140","15","0.36","82510200000"
"155660","DSR","KOSPI","금속","3790","-90","-2.32","60640000000"
"069730","DSR제강","KOSPI","금속","3455","-60","-1.71","49752000000"
"017860","DS단석","KOSPI","화학","25000","-300","-1.19","439605300000"
"017940","E1","KOSPI","유통","62500","-900","-1.42","428750000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","5040","60","1.20","1073968560000"
"383220","F&F","KOSPI","섬유·의류","66600","100","0.15","2551251195000"
"007700","F&F홀딩스","KOSPI","기타금융","12500","-80","-0.64","488929587500"
"114090","GKL","KOSPI","오락·문화","10740","40","0.37","664329895800"
"078930","GS","KOSPI","기타금융","37450","300","0.81","3479680906100"
"006360","GS건설","KOSPI","건설","17580","90","0.51","1504522594200"
"001250","GS글로벌","KOSPI","유통","2935","350","13.54","242236597340"
"007070","GS리테일","KOSPI","유통","15140","490","3.34","1265816263100"
"078935","GS우","KOSPI","기타금융","36400","50","0.14","64967666400"
"499790","GS피앤엘","KOSPI","기타금융","18760","-800","-4.09","372026577160"
"012630","HDC","KOSPI","기타금융","14490","410","2.91","865657537290"
"039570","HDC랩스","KOSPI","건설","8370","-100","-1.18","217265120370"
"089470","HDC현대EP","KOSPI","화학","3650","-5","-0.14","116435000000"
"294870","HDC현대산업개발","KOSPI","건설","19380","180","0.94","1277284055400"
"009540","HD한국조선해양","KOSPI","기타금융","213500","4000","1.91","15110060266000"
"267250","HD현대","KOSPI","기타금융","76200","800","1.06","6019273077000"
"267270","HD현대건설기계","KOSPI","기계·장비","70300","100","0.14","1286882695800"
"443060","HD현대마린솔루션","KOSPI","일반서비스","142700","-600","-0.42","6397128267000"
"071970","HD현대마린엔진","KOSPI","기계·장비","28750","1300","4.74","975242981250"
"010620","HD현대미포","KOSPI","운송장비·부품","106800","1600","1.52","4265821513200"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","24550","-550","-2.19","274960000000"
"042670","HD현대인프라코어","KOSPI","기계·장비","9450","-40","-0.42","1820597943150"
"267260","HD현대일렉트릭","KOSPI","전기·전자","329500","-21000","-5.99","11877530982500"
"329180","HD현대중공업","KOSPI","운송장비·부품","299500","-500","-0.17","26587548242000"
"097230","HJ중공업","KOSPI","건설","7200","-40","-0.55","599574823200"
"014790","HL D&I","KOSPI","건설","2235","-30","-1.32","84613973235"
"003580","HLB글로벌","KOSPI","유통","2965","-655","-18.09","148896728765"
"204320","HL만도","KOSPI","운송장비·부품","40300","-700","-1.71","1892371936000"
"060980","HL홀딩스","KOSPI","기타금융","38250","600","1.59","359698295250"
"011200","HMM","KOSPI","운송·창고","19840","-210","-1.05","17479823600640"
"035000","HS애드","KOSPI","일반서비스","6640","0","0.00","110007595760"
"002460","HS화성","KOSPI","건설","9540","-120","-1.24","96831000000"
"487570","HS효성","KOSPI","기타금융","32250","-1450","-4.30","120161145750"
"298050","HS효성첨단소재","KOSPI","화학","191500","5000","2.68","857910042000"
"003560","IHQ","KOSPI","오락·문화","10760","0","0.00","64669472240"
"175330","JB금융지주","KOSPI","기타금융","17820","440","2.53","3455440061040"
"234080","JW생명과학","KOSPI","제약","11350","50","0.44","179722187900"
"001060","JW중외제약","KOSPI","제약","21900","0","0.00","509961867000"
"001067","JW중외제약2우B","KOSPI","제약","60900","400","0.66","12787355700"
"001065","JW중외제약우","KOSPI","제약","28250","100","0.36","9660115750"
"096760","JW홀딩스","KOSPI","기타금융","3015","0","0.00","222883700130"
